#EB
#        eta         phi        iEta        iPhi   nBadCells
     -1.3576     -0.1301         -78           3           5
     -0.2251      0.1290         -13          18          25
     -0.3121      0.2193         -18          23          25
      0.9234      0.3926          53          33           5
      1.0096      0.6553          58          48          25
     -0.1385      0.7410          -8          53          25
      0.9240      1.7025          53         108          25
      0.1384      1.7886           8         113          25
     -0.9234      2.0506         -53         128          25
      1.4432      2.7498          83         168          25
      0.9234      2.8361          53         173          25
     -1.4432     -3.0991         -83         193          25
      1.0946     -3.0980          63         193          25
     -1.2712     -2.6638         -73         218          15
     -0.1384     -2.6635          -8         218          25
     -0.1386     -2.5731          -8         223          25
      1.4425     -2.5724          83         223          15
     -0.4902     -2.2242         -28         243           2
     -0.8383     -1.7027         -48         273          25
     -1.1863     -1.1772         -68         303          25
     -0.7468     -0.7419         -43         328          25
      1.2712     -0.4780          73         343          25
      1.4433     -0.2192          83         358          25
#EEPlus
#        eta         phi          iX          iY   nBadCells
      1.5461     -3.0901           3          48           5
      1.6155     -2.8597           8          38           5
      2.8857     -0.8994          58          43           5
      1.7439      0.7835          78          78          25
      1.6583     -0.6993          83          23          25
      1.7274     -0.6020          83          28          25
      1.5312     -0.7233          88          18          10
      1.5753     -0.6286          88          23          25
      1.5125     -0.5791          93          23          10
#EEMinus
#        eta         phi          iX          iY   nBadCells
     -2.2644     -1.4599          53          28          25
     -1.7912     -0.4903          83          33          25
